RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
38996,Brooklyn,2025,6,12,19,0,42,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,19,15,64,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,19,30,45,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,19,45,57,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,20,0,46,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,20,15,35,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,20,30,39,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,20,45,43,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,21,0,33,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,21,15,37,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,21,30,23,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,21,45,24,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,22,0,28,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,22,15,29,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,22,30,29,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,22,45,27,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,23,0,25,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,23,15,23,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,23,30,32,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,12,23,45,24,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,0,0,26,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,0,15,30,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,0,30,36,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,0,45,35,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
